id,agem,agefem,agediff,ageratio,sex,camp,hh,capitalm,capitalfem,capitaldiff,capitalratio,leisurem,leisurem_count,leisurefem,leisurefem_count,leisurediff,leisurediff_count,leisurediff_count,leisureratio,leisureratio_count,children,,Apropm,Apropfem,A_countm,A_countfem,num.shown_m,num.shown_fem,prop.sharedm,prop.sharedfem,prop.shared.diff,prop.shared.ratio,Gift.Z.m,Gift.Z.fem,num.live.with.m,num.live.with.fem,camp.N.m,camp.N.fem,prop.live.with.m,prop.live.with.fem,prop.live.with.diff,prop.live.with.ratio,Live.With.Z.m,Live.With.Z.fem
[A74221],51.331363,47.019089,4.312274,1.091713261,M,Kanaipang,7421,-0.208865612,1.2835779,-1.492443512,-0.162721415,42.85714286,12,37.5,12,5.35714286,0,0,0.533333333,0.5,4,,28.57142857,37.5,8,12,8,9,0.25,0.444444444,-0.194444444,0.36,-0.208865612,1.2835779,5,4,46,46,0.108695652,0.086956522,0.02173913,0.555555554,0.409823128,0.085930656
[A74209],67.324763,72.795455,-5.470692,0.92484844,M,Kanaipang,7425,-0.422071828,0.430753036,-0.852824864,-0.979846438,28.57142857,10,57.14285714,20,-28.57142857,-10,-10,0.333333333,0.333333333,0,,37.14285714,37.14285714,13,13,9,9,0.222222222,0.333333333,-0.111111111,0.4,-0.422071828,0.430753036,7,1,46,46,0.152173913,0.02173913,0.130434783,0.875000002,1.057608073,-0.885746761
[A74196],48,44.029868,3.970132,1.090169064,M,Kanaipang,7428,-0.208865612,1.709990332,-1.918855944,-0.122144323,16,4,34.28571429,12,0,-8,-8,0.5,0.25,5,,8,25.71428571,2,9,8,8,0.25,0.5,-0.25,0.333333333,-0.208865612,1.709990332,8,11,46,46,0.173913043,0.239130435,-0.065217392,0.421052631,1.381500545,2.353177962
[A771173],33.140621,21.427618,11.713003,1.546631128,M,Diambarong,7701,0.774596669,0.774596669,0,1,31.25,10,43.75,14,-12.5,-4,-4,0.416666667,0.416666667,2,,18.75,46.875,6,15,9,9,0.111111111,0.111111111,0,0.5,0.774596669,0.774596669,3,3,9,9,0.333333333,0.333333333,0,0.5,1.000510595,1.000510595
[A771179],42.849115,38.658542,4.190573,1.108399665,M,Diambarong,7702,-1.161895004,0.774596669,-1.936491673,-1.500000001,41.37931034,12,50,14,-8.62068966,-2,-2,0.452830189,0.461538462,6,,10.34482759,21.42857143,3,6,9,9,0,0.111111111,-0.111111111,0,-1.161895004,0.774596669,2,3,9,9,0.222222222,0.333333333,-0.111111111,0.4,0.214395127,1.000510595
[A771190],58.890532,59.312726,-0.422194,0.992881899,M,Diambarong,7702,-1.161895004,-1.161895004,0,1,44.82758621,13,41.93548387,13,2.89210234,0,0,0.516666667,0.5,0,,17.24137931,35.48387097,5,11,9,9,0,0,0,0,-1.161895004,-1.161895004,0,3,9,9,0,0.333333333,-0.333333333,0,-1.357835807,1.000510595
[A781145],38.5,22.711979,15.788021,1.695140701,M,Magtaracay,7801,0,0,0,0,8.695652174,2,21.73913043,5,-13.04347826,-3,-3,0.285714286,0.285714286,2,,8.695652174,39.13043478,2,9,11,8,0,0,0,0,0,0,3,3,13,13,0.230769231,0.230769231,0,0.5,0.041277122,0.041277122
[A781149],58.248539,50.079068,8.169471,1.16313145,M,Magtaracay,7802,0,0,0,0,60.86956522,14,30.43478261,7,30.43478261,7,7,0.666666667,0.666666667,3,,21.73913043,43.47826087,5,10,10,11,0,0,0,0,0,0,2,4,13,13,0.153846154,0.307692308,-0.153846154,0.333333333,-0.536602584,0.619156827
[A781155],45.726829,23.573559,22.15327,1.939750761,M,Magtaracay,7803,0,0,0,0,13.04347826,3,36.36363636,8,-23.3201581,-5,-5,0.264,0.272727273,2,,39.13043478,27.27272727,9,6,10,11,0,0,0,0,0,0,5,2,13,13,0.384615385,0.153846154,0.230769231,0.714285714,1.197036533,-0.536602584
[A781196],48,43.925125,4.074875,1.09276866,M,Magtaracay,7809,0,0,0,0,16.66666667,4,10.52631579,2,6.14035088,2,2,0.612903226,0.666666667,2,,20.83333333,10.52631579,5,2,10,6,0,0,0,0,0,0,1,0,13,13,0.076923077,0,0.076923077,1,-1.114482289,-1.692361995
[A791078],56.73446,50.012265,6.722195,1.134410929,M,Dipagsangan,7904,0.512076424,-0.511992354,1.024068778,-1.000164202,28.57142857,6,30,6,-1.42857143,0,0,0.487804878,0.5,0,,9.523809524,35,2,7,13,10,0.384615385,0.2,0.184615385,0.657894737,0.512076424,-0.511992354,5,2,22,22,0.227272727,0.090909091,0.136363636,0.714285714,1.5899327,-0.017864412
[A791080],22.783539,18.956,3.827539,1.201917018,M,Dipagsangan,7905,0.755902324,-1.621400198,2.377302522,-0.466203424,20,4,90.47619048,19,-70.47619048,-15,-15,0.181034483,0.173913043,0,,15,9.523809524,3,2,7,10,0.428571429,0,0.428571429,1,0.755902324,-1.621400198,0,2,22,22,0,0.090909091,-0.090909091,0,-1.089729154,-0.017864412
[A791082],48.948534,41.447574,7.50096,1.180974645,M,Dipagsangan,7906,0.597415489,0.042711567,0.554703922,13.98720607,18.18181818,4,26.31578947,5,-8.13397129,-1,-1,0.408602151,0.444444444,7,,13.63636364,31.57894737,3,6,10,10,0.4,0.3,0.1,0.571428571,0.597415489,0.042711567,4,2,22,22,0.181818182,0.090909091,0.090909091,0.666666667,1.054000329,-0.017864412
[A84586],42.845203,41.774581,1.070622,1.025628551,M,Diabut,8401,-0.576352388,0.700089058,-1.276441446,-0.823255815,14.28571429,5,14.70588235,5,-0.42016806,0,0,0.492753623,0.5,4,,25.71428571,32.35294118,9,11,8,6,0.5,0.666666667,-0.166666667,0.428571428,-0.576352388,0.700089058,2,1,14,14,0.142857143,0.071428571,0.071428572,0.666666668,-0.638000791,-1.196251484
[A84592],24.851313,18.78,6.071313,1.323286102,M,Diabut,8401,-1.00183287,-0.029306054,-0.972526816,34.18518474,13.15789474,5,33.33333333,13,-20.17543859,-8,-8,0.283018868,0.277777778,1,,15.78947368,17.94871795,6,7,9,7,0.444444444,0.571428571,-0.126984127,0.4375,-1.00183287,-0.029306054,2,4,14,14,0.142857143,0.285714286,-0.142857143,0.333333333,-0.638000791,0.478500594
[A84595],35,26.634579,8.365421,1.314081218,M,Diabut,8402,-0.150871906,-1.123398722,0.972526816,0.134299517,20,6,60,12,-40,-6,-6,0.25,0.333333333,4,,10,30,3,6,9,7,0.555555556,0.428571429,0.126984127,0.564516129,-0.150871906,-1.123398722,3,5,14,14,0.214285714,0.357142857,-0.142857143,0.375,-0.079750099,1.036751286
[A84603],24.441839,18.134339,6.3075,1.347820784,M,Diabut,8403,0.700089058,1.338309781,-0.638220723,0.523114355,23.68421053,9,11.11111111,4,12.57309942,5,5,0.680672269,0.692307692,1,,10.52631579,16.66666667,4,6,6,4,0.666666667,0.75,-0.083333333,0.470588235,0.700089058,1.338309781,3,3,14,14,0.214285714,0.214285714,0,0.5,-0.079750099,-0.079750099
[A84600],62.170305,56.62873,5.541575,1.097858013,M,Diabut,8404,1.064786614,0.380978697,0.683807917,2.794871793,45.94594595,17,44.73684211,17,1.20910384,0,0,0.506666667,0.5,1,,27.02702703,39.47368421,10,15,7,8,0.714285714,0.625,0.089285714,0.533333333,1.064786614,0.380978697,0,1,14,14,0,0.071428571,-0.071428571,0,-1.754502176,-1.196251484
[A84605],29.016356,18.93882,10.077536,1.532110026,M,Diabut,8405,-1.533683472,1.064786614,-2.598470086,-1.440366973,18.42105263,7,28.20512821,11,-9.78407558,-4,-4,0.395079595,0.388888889,1,,23.68421053,28.20512821,9,11,8,7,0.375,0.714285714,-0.339285714,0.344262295,-1.533683472,1.064786614,6,4,14,14,0.428571429,0.285714286,0.142857143,0.6,1.595001978,0.478500594
